Distance Bin,Seat comfort_satisfied,Departure/Arrival time convenient_satisfied,Food and drink_satisfied,Gate location_satisfied,Inflight wifi service_satisfied,Inflight entertainment_satisfied,Online support_satisfied,Ease of Online booking_satisfied,On-board service_satisfied,Leg room service_satisfied,Baggage handling_satisfied,Checkin service_satisfied,Cleanliness_satisfied,Online boarding_satisfied,Seat comfort_dissatisfied,Departure/Arrival time convenient_dissatisfied,Food and drink_dissatisfied,Gate location_dissatisfied,Inflight wifi service_dissatisfied,Inflight entertainment_dissatisfied,Online support_dissatisfied,Ease of Online booking_dissatisfied,On-board service_dissatisfied,Leg room service_dissatisfied,Baggage handling_dissatisfied,Checkin service_dissatisfied,Cleanliness_dissatisfied,Online boarding_dissatisfied
1100-1400,3.731958762886598,2.7697594501718212,3.6804123711340204,2.9381443298969074,3.2130584192439864,3.6357388316151202,3.075601374570447,3.2130584192439864,3.9003436426116838,3.3711340206185567,4.378006872852234,3.9518900343642613,4.367697594501718,3.2130584192439864,2.4127272727272726,2.367272727272727,2.403636363636364,2.8927272727272726,3.192727272727273,2.409090909090909,3.1345454545454547,3.192727272727273,3.5145454545454546,3.230909090909091,4.087272727272727,3.54,4.049090909090909,3.192727272727273
1400-1700,3.8515497553017943,2.721044045676998,3.7928221859706364,2.804241435562806,3.0522022838499185,3.7879282218597066,2.9853181076672106,3.0505709624796085,3.965742251223491,3.4861337683523654,4.386623164763458,3.9168026101141926,4.309951060358891,3.0489396411092984,2.4143589743589744,2.3661538461538463,2.3928205128205127,2.998974358974359,3.0205128205128204,2.398974358974359,2.8676923076923075,3.0205128205128204,3.568205128205128,3.3405128205128207,4.1292307692307695,3.5487179487179485,4.161025641025641,3.0205128205128204
1700-2000,3.8112947658402203,2.902203856749311,3.746556473829201,2.866391184573003,3.049586776859504,3.7410468319559227,2.958677685950413,3.0454545454545454,3.899449035812672,3.4545454545454546,4.347107438016529,3.935261707988981,4.371900826446281,3.0426997245179064,2.4084995663486555,2.3980919340849955,2.3972246313963574,2.97918473547268,3.007805724197745,2.4084995663486555,2.9965307892454467,3.013009540329575,3.6331309627059842,3.391153512575889,4.234171725932351,3.642671292281006,4.18213356461405,3.0138768430182132
2000-2300,3.6980337078651684,2.6896067415730336,3.6615168539325844,2.841292134831461,3.042134831460674,3.605337078651685,2.9957865168539324,3.026685393258427,3.912921348314607,3.5519662921348316,4.359550561797753,3.938202247191011,4.370786516853933,3.0042134831460676,2.378980891719745,2.3619957537154987,2.400212314225053,2.938428874734607,2.9872611464968153,2.41932059447983,2.9830148619957537,3.0148619957537157,3.6496815286624202,3.438428874734607,4.2165605095541405,3.6528662420382165,4.178343949044586,3.0180467091295116
2300-2600,3.706546275395034,2.8577878103837473,3.672686230248307,2.781038374717833,3.1331828442437923,3.6117381489841986,3.033860045146727,3.1422121896162527,3.871331828442438,3.510158013544018,4.413092550790068,3.8329571106094806,4.381489841986456,3.0812641083521446,2.3520661157024794,2.3636363636363638,2.3619834710743803,2.8925619834710745,3.021487603305785,2.3669421487603306,2.9983471074380166,3.0760330578512396,3.737190082644628,3.406611570247934,4.186776859504132,3.6479338842975206,4.11404958677686,3.036363636363636
2600-3000,3.6656976744186047,2.7906976744186047,3.613372093023256,2.7994186046511627,3.2180232558139537,3.511627906976744,3.0290697674418605,3.2063953488372094,3.8488372093023258,3.5232558139534884,4.299418604651163,3.872093023255814,4.398255813953488,3.116279069767442,2.3576017130620985,2.3169164882226982,2.3704496788008567,2.97644539614561,3.0492505353319057,2.3811563169164884,3.08779443254818,3.107066381156317,3.650963597430407,3.394004282655246,4.100642398286938,3.633832976445396,4.173447537473233,3.0985010706638114
