col1,col2,correlation
Inflight wifi service,On-board service,0.060794384815418205
Inflight wifi service,Leg room service,0.033589135161457104
Inflight wifi service,Baggage handling,0.038250807311901225
Inflight wifi service,Checkin service,0.09250843126013962
Inflight wifi service,Cleanliness,0.03826345714927797
Inflight wifi service,Online boarding,0.6317857895189601
Inflight wifi service,Departure Delay in Minutes,-0.03290048266035303
Inflight wifi service,Arrival Delay in Minutes,-0.03519782828114211
Inflight entertainment,Age,0.13051076864520442
Inflight entertainment,Flight Distance,-0.027542311731236335
Inflight entertainment,Seat comfort,0.4264471150153773
Inflight entertainment,Departure/Arrival time convenient,0.0772029135876926
Inflight entertainment,Food and drink,0.367669100569211
Inflight entertainment,Gate location,-2.8011421801097183E-4
Inflight entertainment,Inflight wifi service,0.2538225091856221
Inflight entertainment,Inflight entertainment,1.0
Inflight entertainment,Online support,0.44195729350317
Inflight entertainment,Ease of Online booking,0.32173141489437923
Inflight entertainment,On-board service,0.18391227666750837
Inflight entertainment,Leg room service,0.16073054356715885
Inflight entertainment,Baggage handling,0.11721278107063962
Inflight entertainment,Checkin service,0.22411985113588187
Inflight entertainment,Cleanliness,0.10945125959795397
Inflight entertainment,Online boarding,0.3557143037863402
Inflight entertainment,Departure Delay in Minutes,-0.030491429278929266
Inflight entertainment,Arrival Delay in Minutes,-0.03318211126423684
Online support,Age,0.12120087423323554
Online support,Flight Distance,-0.03202248370454569
Online support,Seat comfort,0.12027826578174684
Online support,Departure/Arrival time convenient,-5.46247124129709E-4
Online support,Food and drink,0.028553894598497463
Online support,Gate location,0.0029083373714373895
Online support,Inflight wifi service,0.5573401124584354
Online support,Inflight entertainment,0.4419572935031699
Online support,Online support,1.0
Online support,Ease of Online booking,0.617488917915766
Online support,On-board service,0.15792958203486757
Online support,Leg room service,0.13843342027898842
Online support,Baggage handling,0.10244393817842842
Online support,Checkin service,0.20682384414338525
Online support,Cleanliness,0.09572614259754118
Online support,Online boarding,0.6698428536103128
Online support,Departure Delay in Minutes,-0.03401768496099927
Online support,Arrival Delay in Minutes,-0.03593999534299087
Ease of Online booking,Age,0.07159386882885514
Ease of Online booking,Flight Distance,-0.02229928385111465
Ease of Online booking,Seat comfort,0.21153068290415447
Ease of Online booking,Departure/Arrival time convenient,0.0017554893171488816
Ease of Online booking,Food and drink,0.04118889604708312
Ease of Online booking,Gate location,0.0014418771362770943
Ease of Online booking,Inflight wifi service,0.6011004811843792
Ease of Online booking,Inflight entertainment,0.3217314148943793
Ease of Online booking,Online support,0.617488917915766
Ease of Online booking,Ease of Online booking,1.0
Ease of Online booking,On-board service,0.436263506483344
Ease of Online booking,Leg room service,0.35512202867682413
Ease of Online booking,Baggage handling,0.39832166902573646
Ease of Online booking,Checkin service,0.1377435969189897
Ease of Online booking,Cleanliness,0.41767457040568856
Ease of Online booking,Online boarding,0.6843202034135267
Ease of Online booking,Departure Delay in Minutes,-0.036545257186640465
Ease of Online booking,Arrival Delay in Minutes,-0.03971712911094259
On-board service,Age,0.06670371719639663
On-board service,Flight Distance,-0.03255903942409825
On-board service,Seat comfort,0.12114883742800978
On-board service,Departure/Arrival time convenient,0.060446369288051874
On-board service,Food and drink,0.03864606089395735
On-board service,Gate location,-0.025132352020166605
On-board service,Inflight wifi service,0.06079438481541821
On-board service,Inflight entertainment,0.18391227666750837
On-board service,Online support,0.1579295820348676
On-board service,Ease of Online booking,0.436263506483344
On-board service,On-board service,1.0
On-board service,Leg room service,0.4117460074951798
On-board service,Baggage handling,0.5304477973543267
